OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
1637404,201761989,FS-1513537,FED,FS-FIRESTAT,FS,USAZTNF,Tonto National Forest,0312,Tonto National Forest,080,15,EKW0,TURKEY,,,,,,2013,2456483.5,191,0754,1.0,Lightning,2456483.5,191.0,1501,0.1,A,33.91666667,-110.97083333,5.0,USFS,AZ,007,007,Gila,"b'\x00\x01\xad\x10\x00\x00\xdc\x8d\x1e""""\xbe[\xc0\xe0}\\UU\xf5@@\xdc\x8d\x1e""""\xbe[\xc0\xe0}\\UU\xf5@@|\x01\x00\x00\x00\xdc\x8d\x1e""""\xbe[\xc0\xe0}\\UU\xf5@@\xfe'"
1306603,1782189,SFO-NY-NY0434-2006-2006147,NONFED,ST-NASF,ST/C&L,USNYNYX,Fire Department of New York,NY0434,Fire Department of New York,,NY0434-2006-2006147,,,,,,,,2006,2453851.5,116,1734,9.0,Miscellaneous,2453851.5,116.0,1734,1.49,B,42.09639655,-75.98267303,14.0,MISSING/NOT SPECIFIED,NY,BROOME,007,Broome,b'\x00\x01\xad\x10\x00\x00\xb4\xa0k\x1d\xe4\xfeR\xc0H\xd9\xde\xb8V\x0cE@\xb4\xa0k\x1d\xe4\xfeR\xc0H\xd9\xde\xb8V\x0cE@|\x01\x00\x00\x00\xb4\xa0k\x1d\xe4\xfeR\xc0H\xd9\xde\xb8V\x0cE@\xfe'
864546,986791,SWRA_AR_26409,NONFED,ST-ARARS,ST/C&L,USARARS,Arkansas Forestry Commission,ARARS6,ARS District 6,,1341,,,,,,,,2000,2451807.5,264,,9.0,Miscellaneous,,,,500.0,E,35.2936,-93.5428,14.0,MISSING/NOT SPECIFIED,AR,,,,b'\x00\x01\xad\x10\x00\x000\x116<\xbdbW\xc0\x88\rO\xaf\x94\xa5A@0\x116<\xbdbW\xc0\x88\rO\xaf\x94\xa5A@|\x01\x00\x00\x000\x116<\xbdbW\xc0\x88\rO\xaf\x94\xa5A@\xfe'
390075,413218,SFO-AR052172,NONFED,ST-NASF,ST/C&L,USARARS,Arkansas Forestry Commission,ARARS8,ARS District 8,,,,,,,,,,2005,2453392.5,22,,7.0,Arson,,,,15.0,C,36.23712001,-91.28994002,14.0,MISSING/NOT SPECIFIED,AR,Lawrence,075,Lawrence,b'\x00\x01\xad\x10\x00\x00\xe4\xec\x95`\x8e\xd2V\xc0\xb8\x16\xd0\xf2Y\x1eB@\xe4\xec\x95`\x8e\xd2V\xc0\xb8\x16\xd0\xf2Y\x1eB@|\x01\x00\x00\x00\xe4\xec\x95`\x8e\xd2V\xc0\xb8\x16\xd0\xf2Y\x1eB@\xfe'
1643521,201770980,W-652424,FED,DOI-WFMI,NPS,USAZORP,Organ Pipe Cactus National Monument,AZORP,ORGAN PIPE CACTUS NATIONAL MONUMENT,72,,HC1K,ALAMO,,,,,,2013,2456362.5,70,0710,9.0,Miscellaneous,2456362.5,70.0,1245,0.2,A,32.0681,-112.723967,3.0,NPS,AZ,,,,b'\x00\x01\xad\x10\x00\x00\x84\x18\xafyU.\\\xc0\xd0m4\x80\xb7\x08@@\x84\x18\xafyU.\\\xc0\xd0m4\x80\xb7\x08@@|\x01\x00\x00\x00\x84\x18\xafyU.\\\xc0\xd0m4\x80\xb7\x08@@\xfe'
1460154,20026508,FS-1496959,FED,FS-FIRESTAT,FS,USAZCOF,Coconino National Forest,0304,Coconino National Forest,182,106,EKV3,HORSE,,,,,,2011,2455799.5,238,1630,1.0,Lightning,2455800.5,239.0,1115,0.1,A,35.43611111,-111.77416667,5.0,USFS,AZ,,,,b'\x00\x01\xad\x10\x00\x00dS\\\xf2\x8b\xf1[\xc0\xb0o%}\xd2\xb7A@dS\\\xf2\x8b\xf1[\xc0\xb0o%}\xd2\xb7A@|\x01\x00\x00\x00dS\\\xf2\x8b\xf1[\xc0\xb0o%}\xd2\xb7A@\xfe'
1048581,1178548,TFS_NC_227611,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,02-063,,PINEBLUFF,,,,,,2002,2452436.5,162,,5.0,Debris Burning,,,,0.4,B,35.1333,-79.4833,14.0,MISSING/NOT SPECIFIED,NC,,,,b'\x00\x01\xad\x10\x00\x00\x08\x8a\x1fc\xee\xdeS\xc0PGr\xf9\x0f\x91A@\x08\x8a\x1fc\xee\xdeS\xc0PGr\xf9\x0f\x91A@|\x01\x00\x00\x00\x08\x8a\x1fc\xee\xdeS\xc0PGr\xf9\x0f\x91A@\xfe'
460684,495020,SFO-GA0456-39-233-0006-08,NONFED,ST-NASF,ST/C&L,USGAGAS,Georgia Forestry Commission,GA Rome,"GAS Coosa District, Rome Office",,,,,,,,,,2009,2455058.5,227,,7.0,Arson,,,,61.0,C,34.04155319,-85.34032698,14.0,MISSING/NOT SPECIFIED,GA,Polk,233,Polk,b'\x00\x01\xad\x10\x00\x00\xf8B\xd0\xea\xc7UU\xc0 \x0cl\x9dQ\x05A@\xf8B\xd0\xea\xc7UU\xc0 \x0cl\x9dQ\x05A@|\x01\x00\x00\x00\xf8B\xd0\xea\xc7UU\xc0 \x0cl\x9dQ\x05A@\xfe'
1131988,1380079,CDF_1998_55_2223_436         ,NONFED,ST-CACDF,ST/C&L,USCAMVU,Monte Vista Unit,CAMVU,CDF - Monte Vista Unit,,436         ,,BUTTERFIELD              ,,,,,,1998,2451009.5,196,,2.0,Equipment Use,,,,2.0,B,33.07194444,-116.43611111,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\xd0\xb7\x92>\xe9\x1b]\xc0\xf0v\xb4y5\x89@@\xd0\xb7\x92>\xe9\x1b]\xc0\xf0v\xb4y5\x89@@|\x01\x00\x00\x00\xd0\xb7\x92>\xe9\x1b]\xc0\xf0v\xb4y5\x89@@\xfe'
1832381,300254061,SFO-2015TXLFDX554020,NONFED,ST-NASF,ST/C&L,USTXTXS,Texas A & M Forest Service,TXLFDX,Local Fire Department,,554020,,CHELO RIOS,,,,,,2015,2457050.5,28,,5.0,Debris Burning,,,,1.0,B,32.3167461,-94.553865,8.0,PRIVATE,TX,Rusk,401,Rusk,"b'\x00\x01\xad\x10\x00\x00\x88Y/\x86r\xa3W\xc0`Q\xde""\x8b(@@\x88Y/\x86r\xa3W\xc0`Q\xde""\x8b(@@|\x01\x00\x00\x00\x88Y/\x86r\xa3W\xc0`Q\xde""\x8b(@@\xfe'"
1121679,1367183,CDF_1992_54_2219_184         ,NONFED,ST-CACDF,ST/C&L,USCASKU,Siskiyou Unit,CASKU,Siskiyou Unit,,184         ,,LIGHTNING #90            ,,,,,,1992,2448798.5,177,,1.0,Lightning,,,,0.3,B,41.26194444,-121.59,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\xf4(\\\x8f\xc2e^\xc0\xa8\x959e\x87\xa1D@\xf4(\\\x8f\xc2e^\xc0\xa8\x959e\x87\xa1D@|\x01\x00\x00\x00\xf4(\\\x8f\xc2e^\xc0\xa8\x959e\x87\xa1D@\xfe'
519487,559634,SFO-NC0258-034-0012,NONFED,ST-NASF,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS,North Carolina Division of Forest Resources,,,,,,,,,,2005,2453464.5,94,,5.0,Debris Burning,,,,0.2,A,36.03714,-80.16162,14.0,MISSING/NOT SPECIFIED,NC,Forsyth,067,Forsyth,b'\x00\x01\xad\x10\x00\x00H\x98i\xfbW\nT\xc0\xd8\xaf\xe6\x00\xc1\x04B@H\x98i\xfbW\nT\xc0\xd8\xaf\xe6\x00\xc1\x04B@|\x01\x00\x00\x00H\x98i\xfbW\nT\xc0\xd8\xaf\xe6\x00\xc1\x04B@\xfe'
4465,4487,FS-1427701,FED,FS-FIRESTAT,FS,USCASNF,Sierra National Forest,0515,Sierra National Forest,57,12,B6U0,BLACK ROCK 2,,,,,,2005,2453668.5,298,0657,1.0,Lightning,2453669.5,299.0,1300,0.1,A,36.89611111,-119.05055556,5.0,USFS,CA,,,,"b'\x00\x01\xad\x10\x00\x00,5cM<\xc3]\xc0(\x84\xd3\xc4\xb3rB@,5cM<\xc3]\xc0(\x84\xd3\xc4\xb3rB@|\x01\x00\x00\x00,5cM<\xc3]\xc0(\x84\xd3\xc4\xb3rB@\xfe'"
614401,662360,SFO-TX01430699-11163900,NONFED,ST-NASF,ST/C&L,USTXWAS,Texas Forest Service - Woodville Area,TXWAS,Texas Forest Service - Woodville Area,,,,,,,,,,1999,2451473.5,295,,5.0,Debris Burning,,,,10.0,C,30.10208,-93.96042,14.0,MISSING/NOT SPECIFIED,TX,Orange,361,Orange,b'\x00\x01\xad\x10\x00\x00$\x9br\x85w}W\xc0p\x935\xea!\x1a>@$\x9br\x85w}W\xc0p\x935\xea!\x1a>@|\x01\x00\x00\x00$\x9br\x85w}W\xc0p\x935\xea!\x1a>@\xfe'
878535,1001125,SWRA_GA_56989,NONFED,ST-GAGAS,ST/C&L,USGAGAS,Georgia Forestry Commission,GAGAS27,GAS Unit 27,,4.5437,,,,,,,,1999,2451282.5,104,,6.0,Railroad,,,,3.7,B,32.75,-84.5436,14.0,MISSING/NOT SPECIFIED,GA,,,,"b'\x00\x01\xad\x10\x00\x00\xc0\x86\xa7W\xca""U\xc0\x08\x00\x00\x00\x00`@@\xc0\x86\xa7W\xca""U\xc0\x08\x00\x00\x00\x00`@@|\x01\x00\x00\x00\xc0\x86\xa7W\xca""U\xc0\x08\x00\x00\x00\x00`@@\xfe'"
1142077,1391915,CDF_1998_55_2225_15938       ,NONFED,ST-CACDF,ST/C&L,USCARRU,Riverside Unit,CARRU,CDF - Riverside Unit,,15938       ,,LOCAL FIRE               ,,,,,,1998,2451093.5,280,,3.0,Smoking,,,,0.1,A,33.92388888,-117.26888888,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\xe8v\xb4y5Q]\xc0\x80^\xa6\xfdA\xf6@@\xe8v\xb4y5Q]\xc0\x80^\xa6\xfdA\xf6@@|\x01\x00\x00\x00\xe8v\xb4y5Q]\xc0\x80^\xa6\xfdA\xf6@@\xfe'
1349790,1829583,SFO-NY-NYS-2001-263,NONFED,ST-NASF,ST/C&L,USNYNYS,New York Forest Rangers,NYNYS,New York Forest Rangers,,NYS-2001-263,,,,,,,,2001,2452031.5,122,,5.0,Debris Burning,,,,15.0,C,41.974597,-73.775546,14.0,MISSING/NOT SPECIFIED,NY,DUTCHESS,027,Dutchess,b'\x00\x01\xad\x10\x00\x00\xc8\xa2\xb0\x8b\xa2qR\xc0\xd8\xe30\x98\xbf\xfcD@\xc8\xa2\xb0\x8b\xa2qR\xc0\xd8\xe30\x98\xbf\xfcD@|\x01\x00\x00\x00\xc8\xa2\xb0\x8b\xa2qR\xc0\xd8\xe30\x98\xbf\xfcD@\xfe'
1843952,300269010,SFO-2015FLFLS2015080134,NONFED,ST-NASF,ST/C&L,USFLFLS,Florida Forest Service,FLFLS,Florida Forest Service,,2015080134,,15TH STREET(01),,,,,,2015,2457165.5,143,1700,9.0,Miscellaneous,2457165.5,143.0,1823,1.0,B,29.6758,-82.3052,8.0,PRIVATE,FL,Alachua,001,Alachua,b'\x00\x01\xad\x10\x00\x00L\xaf\x94e\x88\x93T\xc0\x10\xa3\x92:\x01\xad=@L\xaf\x94e\x88\x93T\xc0\x10\xa3\x92:\x01\xad=@|\x01\x00\x00\x00L\xaf\x94e\x88\x93T\xc0\x10\xa3\x92:\x01\xad=@\xfe'
1093238,1331670,CDF_2005_53_2210_005905      ,NONFED,ST-CACDF,ST/C&L,USCAHUU,Humboldt-Del Norte Unit,CAHUU,Humboldt-Del Norte Unit,,005905      ,,FERNWOOD                 ,,,,,,2005,2453631.5,261,,5.0,Debris Burning,,,,0.1,A,40.875,-123.84388888,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\xb4C\x81F\x02\xf6^\xc0\x08\x00\x00\x00\x00pD@\xb4C\x81F\x02\xf6^\xc0\x08\x00\x00\x00\x00pD@|\x01\x00\x00\x00\xb4C\x81F\x02\xf6^\xc0\x08\x00\x00\x00\x00pD@\xfe'
1475065,201142729,2011NCSTNCST-082-20110092,NONFED,ST-NASF,ST/C&L,USNCNCS,North Carolina Forest Service,NCST,North Carolina Division of Forest Resources,,NCST-082-20110092,,BONEY MILL FIRE,,,,,,2011,2455910.5,349,1330,13.0,Missing/Undefined,2455910.5,349.0,1340,2.0,B,34.89455,-78.2962,14.0,MISSING/NOT SPECIFIED,NC,Sampson,163,Sampson,b'\x00\x01\xad\x10\x00\x00\xccD\xd8\xf0\xf4\x92S\xc0\x88QI\x9d\x80rA@\xccD\xd8\xf0\xf4\x92S\xc0\x88QI\x9d\x80rA@|\x01\x00\x00\x00\xccD\xd8\xf0\xf4\x92S\xc0\x88QI\x9d\x80rA@\xfe'
1398387,19094320,SFO-GA-CAL-3-4/20/1995-1930,NONFED,ST-GAGAS,ST/C&L,USGAGAS,Georgia Forestry Commission,GAGAS,Georgia Forestry Commission,,3,,,,,,,,1995,2449827.5,110,1930,6.0,Railroad,2449827.5,110.0,2046,0.76,B,31.4646,-84.5568,14.0,MISSING/NOT SPECIFIED,GA,Calhoun             ,037,Calhoun,b'\x00\x01\xad\x10\x00\x00h\x9aw\x9c\xa2#U\xc0\xd0\xb8\x8d\x06\xf0v?@h\x9aw\x9c\xa2#U\xc0\xd0\xb8\x8d\x06\xf0v?@|\x01\x00\x00\x00h\x9aw\x9c\xa2#U\xc0\xd0\xb8\x8d\x06\xf0v?@\xfe'
517442,557553,SFO-NC01350606-4234,NONFED,ST-NASF,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS,North Carolina Division of Forest Resources,,,,,,,,,,2006,2453805.5,70,,5.0,Debris Burning,,,,2.0,B,34.81776998,-78.31341999,14.0,MISSING/NOT SPECIFIED,NC,Sampson,163,Sampson,b'\x00\x01\xad\x10\x00\x00\x98\xbd\xb7\x12\x0f\x94S\xc0\x18\xe0\xcb\xaf\xachA@\x98\xbd\xb7\x12\x0f\x94S\xc0\x18\xe0\xcb\xaf\xachA@|\x01\x00\x00\x00\x98\xbd\xb7\x12\x0f\x94S\xc0\x18\xe0\xcb\xaf\xachA@\xfe'
1675801,201840006,SFO-2013VAVAS FLU13001,NONFED,ST-NASF,ST/C&L,USVAVAS,Virginia Department of Forestry,VAVAS,Virginia Department of Forestry,,FLU13001,,,,,,,,2013,2456299.5,7,,5.0,Debris Burning,,,,0.2,A,37.8325,-78.49333333,14.0,MISSING/NOT SPECIFIED,VA,Fluvanna,065,Fluvanna,b'\x00\x01\xad\x10\x00\x00\x1c\x98\xf5\xc5\x92\x9fS\xc0\xc8\xf5(\\\x8f\xeaB@\x1c\x98\xf5\xc5\x92\x9fS\xc0\xc8\xf5(\\\x8f\xeaB@|\x01\x00\x00\x00\x1c\x98\xf5\xc5\x92\x9fS\xc0\xc8\xf5(\\\x8f\xeaB@\xfe'
590354,636930,SFO-SC05023321513,NONFED,ST-NASF,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS,South Carolina Forestry Commission,,,,,,,,,,2005,2453442.5,72,,9.0,Miscellaneous,,,,0.3,B,33.89249999,-81.35471998,14.0,MISSING/NOT SPECIFIED,SC,Lexington,063,Lexington,b'\x00\x01\xad\x10\x00\x00\x9cUn\xbb\xb3VT\xc0\x80]\x8ep=\xf2@@\x9cUn\xbb\xb3VT\xc0\x80]\x8ep=\xf2@@|\x01\x00\x00\x00\x9cUn\xbb\xb3VT\xc0\x80]\x8ep=\xf2@@\xfe'
341371,349976,W-110196,FED,DOI-WFMI,BLM,USORMED,Medford District,ORMED,Medford District,,,P144,FLAT CREEK,,,,,,2002,2452470.5,196,1645,1.0,Lightning,2452471.5,197.0,1500,0.3,B,42.8071,-122.7695,1.0,BLM,OR,Jackson,029,Jackson,b'\x00\x01\xad\x10\x00\x00h\x91\xed|?\xb1^\xc0\x08M\x84\rOgE@h\x91\xed|?\xb1^\xc0\x08M\x84\rOgE@|\x01\x00\x00\x00h\x91\xed|?\xb1^\xc0\x08M\x84\rOgE@\xfe'
223938,227398,W-1651,FED,DOI-WFMI,BLM,USIDBOD,Boise District,IDBOD,Boise District,,,F307,BLKSANDS,,,,,,1999,2451366.5,188,1635,9.0,Miscellaneous,2451366.5,188.0,2200,47.0,C,42.93111,-115.9629,7.0,STATE,ID,Owyhee,073,Owyhee,"b""\x00\x01\xad\x10\x00\x00`TR'\xa0\xfd\\\xc0H}\xcb\x9c.wE@`TR'\xa0\xfd\\\xc0H}\xcb\x9c.wE@|\x01\x00\x00\x00`TR'\xa0\xfd\\\xc0H}\xcb\x9c.wE@\xfe"""
140379,141755,FS-367965,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,0114,Kootenai National Forest,91,,5100,CROSS MOUNTAIN,,,,,,2001,2452134.5,225,0500,1.0,Lightning,2452134.5,225.0,2359,0.4,B,48.725,-116.02222222,5.0,USFS,MT,,,,b'\x00\x01\xad\x10\x00\x00<\t\xbf\x16l\x01]\xc0\xd8\xcc\xcc\xcc\xcc\\H@<\t\xbf\x16l\x01]\xc0\xd8\xcc\xcc\xcc\xcc\\H@|\x01\x00\x00\x00<\t\xbf\x16l\x01]\xc0\xd8\xcc\xcc\xcc\xcc\\H@\xfe'
1074339,1310041,CDF_2001_56_2232_012086      ,NONFED,ST-CACDF,ST/C&L,USCAMMU,Merced-Mariposa Unit,CAMMU,CDF - Merced-Mariposa Unit,,012086      ,,MARKET                   ,,,,,,2001,2452109.5,200,,2.0,Equipment Use,,,,0.2,A,37.295,-120.31611111,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\x88\xd6\x17*;\x14^\xc0\x00)\\\x8f\xc2\xa5B@\x88\xd6\x17*;\x14^\xc0\x00)\\\x8f\xc2\xa5B@|\x01\x00\x00\x00\x88\xd6\x17*;\x14^\xc0\x00)\\\x8f\xc2\xa5B@\xfe'
1093838,1332556,CDF_1993_53_2210_233         ,NONFED,ST-CACDF,ST/C&L,USCAHUU,Humboldt-Del Norte Unit,CAHUU,Humboldt-Del Norte Unit,,233         ,,HUCKLEBERRY              ,,,,,,1993,2449277.5,290,,5.0,Debris Burning,,,,0.5,B,40.05305555,-123.99305555,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\x1c\x97\xdd8\x8e\xff^\xc0\x90\x0f6\x86\xca\x06D@\x1c\x97\xdd8\x8e\xff^\xc0\x90\x0f6\x86\xca\x06D@|\x01\x00\x00\x00\x1c\x97\xdd8\x8e\xff^\xc0\x90\x0f6\x86\xca\x06D@\xfe'
1069377,1304626,CDF_2003_56_2230_007362      ,NONFED,ST-CACDF,ST/C&L,USCAFKU,Fresno-Kings Unit,CAFKU,CDF - Fresno-Kings Unit,,007362      ,,FKU07362                 ,,,,,,2003,2452815.5,176,,2.0,Equipment Use,,,,30.0,C,36.80111111,-119.60111111,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\x94\xad\xbb\x9ax\xe6]\xc0\xd0\xf4\x10\xcf\x8afB@\x94\xad\xbb\x9ax\xe6]\xc0\xd0\xf4\x10\xcf\x8afB@|\x01\x00\x00\x00\x94\xad\xbb\x9ax\xe6]\xc0\xd0\xf4\x10\xcf\x8afB@\xfe'
1745465,300085422,SFO-2014NY1012NY1012-2014-268,NONFED,ST-NASF,ST/C&L,USNYNYX,Fire Department of New York,NY1012,Fire Department of New York,,NY1012-2014-268,,,,,,,,2014,2456803.5,146,1219,3.0,Smoking,2456986.5,329.0,1227,0.1,A,42.7069,-73.8205,14.0,MISSING/NOT SPECIFIED,NY,ALBANY,001,Albany,b'\x00\x01\xad\x10\x00\x00\x8c\x97n\x12\x83tR\xc0x\xc5\xfe\xb2{ZE@\x8c\x97n\x12\x83tR\xc0x\xc5\xfe\xb2{ZE@|\x01\x00\x00\x00\x8c\x97n\x12\x83tR\xc0x\xc5\xfe\xb2{ZE@\xfe'
1332176,1811187,SFO-NY-NY3231-2003-090064,NONFED,ST-NASF,ST/C&L,USNYNYX,Fire Department of New York,NY3231,Fire Department of New York,,NY3231-2003-090064,,,,,,,,2003,2452889.5,250,1654,7.0,Arson,2452889.5,250.0,1654,0.1,A,43.26715232,-79.02425126,14.0,MISSING/NOT SPECIFIED,NY,NIAGARA,063,Niagara,b'\x00\x01\xad\x10\x00\x00\x8c%(U\x8d\xc1S\xc0\xb0\xb9\x16\x0c2\xa2E@\x8c%(U\x8d\xc1S\xc0\xb0\xb9\x16\x0c2\xa2E@|\x01\x00\x00\x00\x8c%(U\x8d\xc1S\xc0\xb0\xb9\x16\x0c2\xa2E@\xfe'
447645,481871,SFO-GA0261-37-303-0007-08,NONFED,ST-NASF,ST/C&L,USGAGAS,Georgia Forestry Commission,GA Milledgeville,"GAS Oconee District, Milledgeville Office",,,,,,,,,,2007,2454319.5,219,,1.0,Lightning,,,,110.32,D,32.96468336,-82.91525401,14.0,MISSING/NOT SPECIFIED,GA,Washington,303,Washington,b'\x00\x01\xad\x10\x00\x00\xe4\x1e\x8e\x85\x93\xbaT\xc0\x08\x19\x8d\xbez{@@\xe4\x1e\x8e\x85\x93\xbaT\xc0\x08\x19\x8d\xbez{@@|\x01\x00\x00\x00\xe4\x1e\x8e\x85\x93\xbaT\xc0\x08\x19\x8d\xbez{@@\xfe'
963590,1091877,TFS_FL_42170,NONFED,ST-FLFLS,ST/C&L,USFLFLS,Florida Forest Service,FLFLS4,FLS Tallahassee Forestry Center,,0067,,,,,,,,1993,2449115.5,128,,6.0,Railroad,,,,0.4,B,30.63,-84.4,14.0,MISSING/NOT SPECIFIED,FL,Gadsden,039,Gadsden,b'\x00\x01\xad\x10\x00\x00\x98\x99\x99\x99\x99\x19U\xc0\xf0z\x14\xaeG\xa1>@\x98\x99\x99\x99\x99\x19U\xc0\xf0z\x14\xaeG\xa1>@|\x01\x00\x00\x00\x98\x99\x99\x99\x99\x19U\xc0\xf0z\x14\xaeG\xa1>@\xfe'
1299853,1770622,SFO-NY-NY1205-2007-0000124,NONFED,ST-NASF,ST/C&L,USNYNYX,Fire Department of New York,NY1205,Fire Department of New York,,NY1205-2007-0000124,,,,,,,,2007,2454250.5,150,1021,7.0,Arson,2454250.5,150.0,1021,0.1,A,42.67919893,-76.13334146,14.0,MISSING/NOT SPECIFIED,NY,CORTLAND,023,Cortland,b'\x00\x01\xad\x10\x00\x00\xa4y\x9e\xaa\x88\x08S\xc0\x08\xea\x93\xfd\xefVE@\xa4y\x9e\xaa\x88\x08S\xc0\x08\xea\x93\xfd\xefVE@|\x01\x00\x00\x00\xa4y\x9e\xaa\x88\x08S\xc0\x08\xea\x93\xfd\xefVE@\xfe'
1362167,15011536,AK-FAS-411025,INTERAGCY,IA-AKACC,ST/C&L,USAKFAS,Fairbanks Area Forestry,AKFAS,Fairbanks Area Forestry,,411025,A025,STONEMAN,,,,,,1994,2449476.5,124,,5.0,Debris Burning,2449476.5,124.0,,0.1,A,64.800003,-147.399993,8.0,PRIVATE,AK,,,,b'\x00\x01\xad\x10\x00\x00\x1f\xb4\x1e\xbe\xcclb\xc0\xf0l\xc8?33P@\x1f\xb4\x1e\xbe\xcclb\xc0\xf0l\xc8?33P@|\x01\x00\x00\x00\x1f\xb4\x1e\xbe\xcclb\xc0\xf0l\xc8?33P@\xfe'
842353,963806,SWRA_AL_37014,NONFED,ST-ALALS,ST/C&L,USALALS,Alabama Forestry Commission,ALALS4,AFC District 4,,88.250,,,,,,,,1998,2450999.5,186,,9.0,Miscellaneous,,,,10.0,C,30.5381,-88.2508,14.0,MISSING/NOT SPECIFIED,AL,,,,b'\x00\x01\xad\x10\x00\x00\x8cuq\x1b\r\x10V\xc0P\xfa\xed\xeb\xc0\x89>@\x8cuq\x1b\r\x10V\xc0P\xfa\xed\xeb\xc0\x89>@|\x01\x00\x00\x00\x8cuq\x1b\r\x10V\xc0P\xfa\xed\xeb\xc0\x89>@\xfe'
45702,45975,FS-262737,FED,FS-FIRESTAT,FS,USIDSCF,Salmon-Challis National Forest,0406,Challis National Forest,2,,,,,,,,,1992,2448759.5,138,1600,1.0,Lightning,2448762.5,141.0,1200,3.6,B,44.72,-115.1,5.0,USFS,ID,,,,b'\x00\x01\xad\x10\x00\x00dffff\xc6\\\xc0`\x8f\xc2\xf5(\\F@dffff\xc6\\\xc0`\x8f\xc2\xf5(\\F@|\x01\x00\x00\x00dffff\xc6\\\xc0`\x8f\xc2\xf5(\\F@\xfe'
1238378,1641465,SFO-GA-FY2000-Jenkins-018,NONFED,ST-NASF,ST/C&L,USGAGAS,Georgia Forestry Commission,GAGAS,Georgia Forestry Commission,,FY2000-Jenkins-018,,FY2000-JENKINS-018,,,,,,2000,2451570.5,27,1315,5.0,Debris Burning,2451570.5,27.0,1315,9.8,B,32.9035,-81.7671,8.0,PRIVATE,GA,Jenkins,165,Jenkins,b'\x00\x01\xad\x10\x00\x00\xbc0\x99*\x18qT\xc0\xd8\xf7S\xe3\xa5s@@\xbc0\x99*\x18qT\xc0\xd8\xf7S\xe3\xa5s@@|\x01\x00\x00\x00\xbc0\x99*\x18qT\xc0\xd8\xf7S\xe3\xa5s@@\xfe'
1751729,300093100,SFO-2014KYKYS15320149008,NONFED,ST-NASF,ST/C&L,USKYKYS,Kentucky Division of Forestry,KYKYS,Kentucky Division of Forestry,,15320149008,,WILL MAY,,,,,,2014,2456724.5,67,1723,5.0,Debris Burning,2456725.5,68.0,1130,60.0,C,37.773529,-83.059036,8.0,PRIVATE,KY,Magoffin,153,Magoffin,b'\x00\x01\xad\x10\x00\x00TR\xee>\xc7\xc3T\xc0\x00\xc1\x8e\xff\x02\xe3B@TR\xee>\xc7\xc3T\xc0\x00\xc1\x8e\xff\x02\xe3B@|\x01\x00\x00\x00TR\xee>\xc7\xc3T\xc0\x00\xc1\x8e\xff\x02\xe3B@\xfe'
802692,909063,STATE_KY_14724,NONFED,ST-KYKYS,ST/C&L,USKYKYS,Kentucky Division of Forestry,KYKYS9,KYS Western Kentucky District,,99-908,,,,,,,,1999,2451489.5,311,,5.0,Debris Burning,,,,400.0,E,37.4022,-82.2481,14.0,MISSING/NOT SPECIFIED,KY,,,,b'\x00\x01\xad\x10\x00\x00\xcc\x88\xd2\xde\xe0\x8fT\xc0\xc89#J{\xb3B@\xcc\x88\xd2\xde\xe0\x8fT\xc0\xc89#J{\xb3B@|\x01\x00\x00\x00\xcc\x88\xd2\xde\xe0\x8fT\xc0\xc89#J{\xb3B@\xfe'
